-,-,CMManagerAcc,-,-,CMManagerDevMotAcc,-,-,CMManagerDevMotAccGrav,-,-,Attitdue,-,-,-,AttitudeQuaternion,-,-,-,AttitudeRotationMatrix,-,-,CLManager,-,-,CMManagerDevMotMag,-,-,CMManagerMag,
Transaction,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,DOT,DIFF,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-07-26_54_North7_Leg,0.009319805,0.330011522,0.330011522,0.001317008,-0.184882882,-0.184882882,2.75E-07,-0.048777899,-0.045138889,0.007101751,-0.779654798,-0.779654821,0.003180917,-0.79240057,-0.792400556,0.999991317,0.008320272,-,-,-,681.4843159,0.261806551,0.261806551,5.426674382,0.953230775,0.953230775,120.6646969,-0.102464864,-0.102464875
16-07-26_54_North8_Leg,0.009737057,0.032359915,0.032359915,0.00094262,0.08392352,0.08392352,2.41E-07,0.156173046,0.146437899,0.008739648,-0.929321214,-0.929321217,0.003910572,-0.929593726,-0.929593734,0.99998732,0.009967426,-,-,-,681.5011291,0.331125023,0.331125025,4.78863908,0.998630976,0.998630976,120.582813,0.159045531,0.159045524
16-07-26_54_North9_Leg,0.009822535,0.119665244,0.119665243,0.001262799,-0.293491255,-0.293491255,2.09E-07,0.235926643,0.230693362,0.009702021,-0.411216659,-0.411216677,0.004332704,-0.363968382,-0.363968361,0.999986019,0.010506492,-,-,-,681.427216,-0.059624877,-0.059624876,5.006387575,0.990647156,0.990647156,120.6127148,0.238220826,0.238220823
16-07-26_63_North1_Leg,0.009649076,0.500114395,0.500114395,0.002433391,-0.13443054,-0.13443054,2.64E-07,-0.02947998,-0.021084975,0.009094904,0.821744342,0.821744362,0.003821919,0.850612128,0.850612139,0.999988639,0.00950449,-,-,-,674.6513813,-0.252197248,-0.252197244,4.705228193,0.953478084,0.953478084,120.1702587,0.189333526,0.189333521
16-07-26_63_North10_Leg,0.009975003,0.304151551,0.304151551,0.00266099,0.198078098,0.198078098,2.96E-07,-0.224176235,-0.225374468,0.015276769,0.929828984,0.929828986,0.006122828,0.92884088,0.92884088,0.999940267,0.021880902,-,-,-,674.3986302,0.265592996,0.265592995,4.073607429,0.996443436,0.996443436,119.5837777,0.217884747,0.217884739
16-07-26_63_North2_Leg,0.009841437,0.217633735,0.217633736,0.002200806,-0.128249426,-0.128249426,2.59E-07,0.154548147,0.152414699,0.007872102,-0.363477378,-0.363477381,0.003295914,-0.459631517,-0.459631476,0.999990133,0.008944302,-,-,-,674.5504583,0.044756217,0.044756217,4.79521979,0.953944686,0.953944686,120.037469,0.3231748,0.323174798
16-07-26_63_North3_Leg,0.009321145,-0.170099368,-0.170099367,0.002361787,0.232318655,0.232318655,2.86E-07,-0.043232812,-0.048616097,0.009108756,-0.927795826,-0.927795828,0.003828208,-0.925528199,-0.925528191,0.999988477,0.009500223,-,-,-,674.5811647,-0.005275853,-0.00527585,4.348010138,0.991997291,0.991997291,119.9086771,-0.106096896,-0.106096881
16-07-26_63_North4_Leg,0.009879925,0.921425265,0.921425265,0.003631788,0.38401757,0.38401757,2.48E-07,0.038210091,0.038785809,0.008478234,0.260599965,0.260599939,0.003561466,0.265543416,0.265543463,0.999990193,0.008895391,-,-,-,674.6343768,-0.009481273,-0.009481275,5.425232219,0.926001796,0.926001796,119.9384963,0.06033764,0.060337643
16-07-26_63_North5_Leg,0.00959359,-0.174092343,-0.174092344,0.002541098,0.169315527,0.169315527,2.87E-07,-0.077122072,-0.076300132,0.015187004,0.786693875,0.78669386,0.006063559,0.751250071,0.75125007,0.999936848,0.02251479,-,-,-,675.9096994,-0.517271692,-0.517271694,4.262709781,0.999920919,0.999920919,120.1471556,0.294595667,0.294595683
16-07-26_63_North6_Leg,0.01255821,-0.172402037,-0.172402037,0.002676262,0.127496931,0.127496931,2.61E-07,0.149795784,0.146050833,0.016531415,-0.599766558,-0.599766548,0.006621613,-0.59156721,-0.591567224,0.999930147,0.02360404,-,-,-,674.6446038,-0.292105677,-0.292105672,4.80954284,0.954017098,0.954017098,119.8135786,0.421178778,0.421178773
