-0,-0,Location,-0,-0,CLManager,-0,-0,CMManagerDevMotMag,-0,-0,CMManagerMag,-0,-0,Sound,-0
Transaction,MAE,HAV,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-08-01_Asda100C9_Ill,-0,0.0553794031,-0,607.727713457,0.4696737458,0.4696737422,539.700714712,0.9884100293,0.9884100293,101.855558495,-0.3611453509,-0.3611453601,-0,-0.0879040182,-0
16-08-01_Asda25A1_Ill,-0,0.0018324901,-0,613.678287396,0.2399626766,0.2399626765,174.584954827,0.9851933734,0.9851933734,118.085093259,-0.0312118197,-0.0312117936,-0,0.0174316615,-0
16-08-01_Asda25A10_Ill,-0,0.0237556041,-0,612.507964328,-0.1924009035,-0.1924009051,544.401830097,0.990909893,0.990909893,115.729166979,0.1760377527,0.1760377568,-0,-0.0670585699,-0
16-08-01_Asda25A2_Ill,-0,0.0598038391,-0,611.174139371,-0.0526645017,-0.0526645003,542.810550289,0.9966458686,0.9966458686,115.544462395,-0.0463797126,-0.0463797127,-0,-0.0706267973,-0
16-08-01_Asda25A3_Ill,-0,0.0395841901,-0,611.391902599,-0.0351686255,-0.0351686259,542.713161814,0.9382374743,0.9382374743,115.291421751,-0.3471117527,-0.3471117529,-0,-0.1305049991,-0
16-08-01_Asda25A4_Ill,-0,0.0260831097,-0,609.265004211,0.0850175518,0.0850175519,542.683888965,0.994402678,0.994402678,115.580179594,0.393303279,0.3933032841,-0,-0.0178301382,-0
16-08-01_Asda25A5_Ill,-0,0.021108962,-0,611.342182399,0.0826208971,0.082620897,543.03327365,0.9834441459,0.9834441459,115.22781153,-0.3577766102,-0.3577766121,-0,0.0283111273,-0
16-08-01_Asda25A6_Ill,-0,0.0125871274,-0,613.695631933,-0.4905519707,-0.4905519694,544.953794805,0.9554328371,0.9554328371,117.367734832,0.1113139946,0.1113139839,-0,-0.0350986649,-0
16-08-01_Asda25A7_Ill,-0,0.0223119586,-0,613.781136829,-0.5414498967,-0.5414498983,545.756588695,0.9906126031,0.9906126031,117.147826025,-0.4285772177,-0.4285772176,-0,0.0273185584,-0
16-08-01_Asda25A8_Ill,-0,0.0218287517,-0,613.825657191,-0.0237728693,-0.0237728686,545.654239461,0.9907317662,0.9907317662,117.08147487,-0.3687221653,-0.3687221546,-0,-0.0177488324,-0
16-08-01_Asda25A9_Ill,-0,0.0203501719,-0,610.353670323,0.3200087885,0.3200087895,544.018024386,0.9310291438,0.9310291438,113.678994108,-0.2626099531,-0.262609971,-0,-0.0825955129,-0
16-08-01_Asda50A1_Ill,-0,0.680598049,-0,586.509815451,0.0584386092,0.0584386094,521.975367597,0.989684325,0.989684325,147.776607356,0.0098193623,0.0098193469,-0,0.0720652238,-0
16-08-01_Asda50A10_Ill,-0,0.0420474832,-0,584.509446752,-0.0320058224,-0.0320058225,519.289592521,0.9954715058,0.9954715058,146.814553807,-0.1751498415,-0.1751498419,-0,-0.1017514652,-0
16-08-01_Asda50A2_Ill,-0,0.0373175698,-0,585.294884073,-0.1864269545,-0.1864269555,519.134866599,0.9517252359,0.9517252359,147.797507711,0.0118624479,0.0118624434,-0,0.0569033666,-0
16-08-01_Asda50A3_Ill,-0,0.0339762305,-0,585.141102709,0.0736034874,0.0736034871,520.063024859,0.9915408075,0.9915408075,146.564806528,0.2320457155,0.2320457055,-0,0.1451253562,-0
16-08-01_Asda50A4_Ill,-0,0.0396375493,-0,584.898435424,0.0284495878,0.0284495874,519.165202068,0.9448870197,0.9448870197,146.830824783,-0.1224386074,-0.1224385959,-0,-0.0691228955,-0
16-08-01_Asda50A5_Ill,-0,0.056791903,-0,584.791318917,0.0219922347,0.021992235,519.38141368,0.9222663765,0.9222663765,146.650760842,0.3524158787,0.3524158774,-0,0.0188944647,-0
16-08-01_Asda50A6_Ill,-0,0.0681664081,-0,584.935384843,-0.0333168784,-0.0333168786,520.290767261,0.990139601,0.990139601,146.53109628,0.4947948496,0.4947948478,-0,0.0230745338,-0
16-08-01_Asda50A7_Ill,-0,0.0564218214,-0,584.550267034,0.2381488071,0.2381488072,519.818115328,0.9911303251,0.9911303251,146.262020563,0.1539807586,0.153980758,-0,-0.0287388629,-0
16-08-01_Asda50A8_Ill,-0,0.0381980469,-0,584.449150604,-0.1902500533,-0.1902500525,519.12530436,0.9946659169,0.9946659169,146.414814863,0.2827672235,0.2827672224,-0,0.1152125264,-0
16-08-01_Asda50A9_Ill,-0,0.022061742,-0,584.708239953,0.4674252022,0.4674251981,519.430354029,0.9907426623,0.9907426623,146.444648633,0.023669903,0.0236699191,-0,-0.0484955769,-0
16-08-01_Asda50B1_Ill,-0,0.0352187503,-0,610.873320395,-0.3004102888,-0.3004102882,543.855474043,0.9906018922,0.9906018922,127.262358355,-0.1987776485,-0.1987776353,-0,-0.0161202159,-0
16-08-01_Asda50B10_Ill,-0,0.028950849,-0,615.800110725,-0.3604955429,-0.3604955433,546.897414476,0.9722582026,0.9722582026,122.268945099,-0.0029101032,-0.0029101048,-0,0.0126637742,-0
16-08-01_Asda50B2_Ill,-0,0.0246984591,-0,611.384246466,0.262231763,0.2622317619,543.601515026,0.9907390577,0.9907390577,126.934048121,-0.0669564648,-0.066956456,-0,0.0667519202,-0
16-08-01_Asda50B3_Ill,-0,0.032214085,-0,611.454032695,-0.1852955288,-0.185295529,542.934606822,0.9633276702,0.9633276702,127.394250821,-0.4044718707,-0.4044718472,-0,-0.0165090739,-0
16-08-01_Asda50B4_Ill,-0,0.0367118322,-0,611.412255365,-0.4264433928,-0.4264433964,542.798427218,0.9371800162,0.9371800162,127.060273148,0.0564961018,0.0564961021,-0,-0.0598349587,-0
16-08-01_Asda50B5_Ill,-0,0.03810098,-0,611.103510921,-0.1505163008,-0.1505163001,543.155891747,0.9998330274,0.9998330274,127.294058504,-0.2390353447,-0.2390353116,-0,-0.0231465256,-0
16-08-01_Asda50B6_Ill,-0,0.0259714021,-0,610.021383796,0.334970225,0.3349702234,551.559379271,0.9679873653,0.9679873653,125.920151073,0.0872809292,0.0872809461,-0,0.02100342,-0
16-08-01_Asda50B7_Ill,-0,0.038994826,-0,609.787705671,-0.0429883348,-0.0429883334,541.320015249,0.9521029893,0.9521029893,126.025389243,-0.1066900657,-0.106690064,-0,0.005625256,-0
16-08-01_Asda50B8_Ill,-0,0.0359711895,-0,609.80621708,-0.2033971028,-0.2033971025,541.836921498,0.9144138735,0.9144138735,126.01635545,0.059590872,0.0595908828,-0,-0.1039341634,-0
16-08-01_Asda50B9_Ill,-0,0.0319976139,-0,615.862773733,-0.0385262301,-0.0385262292,547.384825736,0.9906258309,0.9906258309,122.446229006,-0.288538874,-0.288538861,-0,0.0302235231,-0
16-08-01_Asda50C1_Ill,-0,0.6656209643,-0,597.188879745,-0.4341020661,-0.4341020665,530.574235706,0.9943626586,0.9943626586,135.499942161,-0.1882767475,-0.1882767738,-0,-0.0459392159,-0
16-08-01_Asda50C10_Ill,-0,0.0431403087,-0,597.179891243,0.1989715069,0.1989715066,530.142679526,0.9531362475,0.9531362475,136.052577751,0.2488294305,0.2488294377,-0,-0.0002246492,-0
16-08-01_Asda50C2_Ill,-0,0.0599866459,-0,597.493545723,-0.446508805,-0.4465088019,531.040182498,0.9910579901,0.9910579901,135.578534557,-0.4742825691,-0.4742825745,-0,0.0392584602,-0
